Property ID,Property Type,Location,Size,No of rooms,Year Built,Floor level,Building Condition,Price,Rent,Property Tax,Maintenance Cost,HOA Fees,Mortgage Interest Rate,Average Price per Square Meter,Price Change,Rental Yield,Days on Market
230,Apartment,Prenzlauer Berg,142,4,1988,1,Fair,886238,3693,13294,8862,369,3.54,6241,2.1,5.0,40
231,House,Marzahn-Hellersdorf,91,1,1986,1,Excellent,536995,2237,8055,5370,224,3.57,5901,4.71,5.0,51
232,House,Reinickendorf,109,1,2011,3,Poor,337229,1405,5058,3372,140,2.59,3094,6.21,5.0,48
233,House,Schöneberg,60,4,2003,3,Good,132599,552,1989,1326,55,4.12,2210,8.94,5.0,38
234,House,Friedrichshain-Kreuzberg,100,3,1921,5,Good,588708,2453,8831,5887,245,2.78,5887,0.27,5.0,61
235,House,Spandau,50,4,1965,2,Good,91727,382,1376,917,38,4.14,1835,-0.65,5.0,31
236,Apartment,Tempelhof-Schöneberg,54,2,1940,1,Excellent,221325,922,3320,2213,92,4.12,4099,4.44,5.0,80
237,House,Schöneberg,144,2,1952,3,Excellent,1036069,4317,15541,10361,432,3.1,7195,-1.39,5.0,41
238,House,Tempelhof-Schöneberg,92,1,1918,5,Excellent,519375,2164,7791,5194,216,2.75,5645,-4.96,5.0,99
239,Apartment,Treptow-Köpenick,34,3,1969,4,Fair,204094,850,3061,2041,85,3.22,6003,0.73,5.0,41
240,Apartment,Reinickendorf,88,1,1914,3,Good,429803,1791,6447,4298,179,3.09,4884,-4.26,5.0,48
241,House,Treptow-Köpenick,58,2,1983,5,Poor,465899,1941,6988,4659,194,4.26,8033,-2.25,5.0,97
242,House,Steglitz-Zehlendorf,118,3,2012,5,Excellent,1001352,4172,15020,10014,417,4.1,8486,7.85,5.0,39
243,House,Charlottenburg-Wilmersdorf,90,3,1919,1,Fair,587288,2447,8809,5873,245,4.25,6525,-0.4,5.0,33
244,House,Steglitz-Zehlendorf,130,2,1985,5,Poor,871066,3629,13066,8711,363,3.15,6701,4.7,5.0,116
245,House,Schöneberg,90,2,1930,3,Excellent,575926,2400,8639,5759,240,2.5,6399,1.46,5.0,116
246,Apartment,Reinickendorf,142,3,2011,2,Good,317619,1323,4764,3176,132,2.58,2237,-3.71,5.0,36
247,House,Schöneberg,126,3,2000,5,Excellent,564239,2351,8464,5642,235,3.84,4478,3.97,5.0,109
248,Apartment,Treptow-Köpenick,96,1,1953,2,Poor,767965,3200,11519,7680,320,3.52,8000,-4.48,5.0,95
249,Apartment,Treptow-Köpenick,135,4,1983,1,Excellent,942081,3925,14131,9421,392,3.56,6978,1.02,5.0,91
250,House,Prenzlauer Berg,142,1,1942,2,Poor,420173,1751,6303,4202,175,3.49,2959,-3.99,5.0,104
251,Apartment,Friedrichshain-Kreuzberg,144,2,2009,2,Fair,673915,2808,10109,6739,281,4.35,4680,9.16,5.0,65
252,House,Steglitz-Zehlendorf,117,2,1953,5,Poor,697992,2908,10470,6980,291,2.52,5966,9.35,5.0,42
253,House,Mitte,87,3,2019,1,Poor,229510,956,3443,2295,96,3.01,2638,7.47,5.0,100
254,House,Spandau,64,3,1904,2,Fair,190108,792,2852,1901,79,3.7,2970,9.11,5.0,30
255,Apartment,Mitte,100,4,1965,2,Poor,208750,870,3131,2088,87,3.73,2088,-0.96,5.0,57
256,House,Spandau,40,1,1919,5,Fair,283623,1182,4254,2836,118,2.63,7091,8.88,5.0,71
257,Apartment,Treptow-Köpenick,139,1,1910,4,Poor,679952,2833,10199,6800,283,3.85,4892,2.72,5.0,106
258,House,Spandau,74,2,1952,1,Poor,183469,764,2752,1835,76,2.76,2479,0.26,5.0,117
259,House,Treptow-Köpenick,114,2,1933,4,Poor,431552,1798,6473,4316,180,2.76,3786,-3.47,5.0,86
260,Apartment,Prenzlauer Berg,42,3,1998,3,Good,109966,458,1649,1100,46,3.25,2618,0.23,5.0,110
261,Apartment,Spandau,111,1,1929,3,Poor,461767,1924,6927,4618,192,3.9,4160,7.81,5.0,33
262,House,Prenzlauer Berg,35,4,1991,2,Fair,222990,929,3345,2230,93,2.95,6371,2.38,5.0,56
263,Apartment,Reinickendorf,58,1,1950,5,Fair,412339,1718,6185,4123,172,4.23,7109,5.25,5.0,119
264,Apartment,Neukölln,77,3,1941,5,Poor,619137,2580,9287,6191,258,4.35,8041,-4.26,5.0,40
265,Apartment,Marzahn-Hellersdorf,133,3,1909,2,Excellent,1137565,4740,17063,11376,474,3.79,8553,0.34,5.0,81
266,House,Friedrichshain-Kreuzberg,140,3,1939,5,Fair,576550,2402,8648,5766,240,3.03,4118,0.45,5.0,60
267,Apartment,Tempelhof-Schöneberg,107,3,1958,2,Fair,831669,3465,12475,8317,346,2.52,7773,-2.73,5.0,56
268,House,Reinickendorf,137,1,1954,1,Good,476290,1985,7144,4763,198,3.75,3477,7.74,5.0,105
269,House,Schöneberg,105,1,1986,5,Excellent,818596,3411,12279,8186,341,3.49,7796,4.83,5.0,95
270,Apartment,Friedrichshain-Kreuzberg,82,2,2009,5,Poor,287029,1196,4305,2870,120,2.73,3500,-0.28,5.0,66
271,Apartment,Reinickendorf,79,3,1903,5,Good,274745,1145,4121,2747,114,2.77,3478,-3.71,5.0,70
272,House,Treptow-Köpenick,38,4,1981,2,Poor,110298,460,1654,1103,46,3.8,2903,-0.34,5.0,75
273,House,Marzahn-Hellersdorf,105,1,1994,3,Poor,817988,3408,12270,8180,341,3.99,7790,2.75,5.0,105
274,Apartment,Mitte,129,3,1927,3,Poor,924583,3852,13869,9246,385,4.14,7167,7.38,5.0,86
275,House,Tempelhof-Schöneberg,45,4,1962,3,Poor,217324,906,3260,2173,91,2.64,4829,6.04,5.0,114
276,House,Tempelhof-Schöneberg,146,2,2002,2,Good,423384,1764,6351,4234,176,2.78,2900,0.34,5.0,95
277,House,Schöneberg,45,3,1985,3,Excellent,152260,634,2284,1523,63,2.76,3384,1.04,5.0,111
278,House,Treptow-Köpenick,142,1,1993,2,Poor,662959,2762,9944,6630,276,3.72,4669,-2.44,5.0,65
279,House,Prenzlauer Berg,103,2,1935,5,Poor,912850,3804,13693,9128,380,4.49,8863,-4.43,5.0,56
280,House,Lichtenberg,60,3,2021,4,Good,299835,1249,4498,2998,125,3.18,4997,4.95,5.0,37
281,House,Friedrichshain-Kreuzberg,95,1,1919,1,Fair,511438,2131,7672,5114,213,4.24,5384,9.21,5.0,89
282,House,Mitte,111,1,1932,1,Fair,715944,2983,10739,7159,298,3.5,6450,6.89,5.0,55
283,Apartment,Lichtenberg,87,1,2000,1,Good,198974,829,2985,1990,83,3.82,2287,-2.72,5.0,58
284,Apartment,Friedrichshain-Kreuzberg,112,3,1958,2,Poor,339949,1416,5099,3399,142,2.89,3035,5.74,5.0,94
285,House,Treptow-Köpenick,119,2,1952,3,Good,731135,3046,10967,7311,305,2.61,6144,7.4,5.0,30
286,Apartment,Treptow-Köpenick,83,1,1982,4,Poor,514879,2145,7723,5149,214,4.05,6203,1.09,5.0,100
287,House,Neukölln,34,4,1970,1,Poor,281885,1175,4228,2819,118,4.27,8291,1.14,5.0,33
288,House,Spandau,135,2,1974,3,Good,499832,2083,7497,4998,208,3.58,3702,2.62,5.0,74
289,House,Spandau,98,4,1964,4,Fair,280380,1168,4206,2804,117,2.51,2861,0.95,5.0,83
290,Apartment,Mitte,64,3,1927,5,Excellent,317677,1324,4765,3177,132,3.19,4964,0.88,5.0,38
291,Apartment,Reinickendorf,65,1,1936,1,Excellent,347144,1446,5207,3471,145,4.16,5341,-2.23,5.0,49
292,House,Spandau,47,2,1958,1,Fair,83812,349,1257,838,35,3.19,1783,-2.07,5.0,67
293,House,Lichtenberg,116,3,1992,3,Poor,404464,1685,6067,4045,168,3.96,3487,7.33,5.0,109
294,Apartment,Tempelhof-Schöneberg,150,2,1922,4,Poor,1160992,4837,17415,11610,484,2.79,7740,0.43,5.0,115
295,Apartment,Spandau,124,4,1925,2,Poor,510591,2127,7659,5106,213,3.02,4118,2.22,5.0,107
296,Apartment,Tempelhof-Schöneberg,131,2,1942,2,Excellent,1010284,4210,15154,10103,421,3.23,7712,-1.47,5.0,51
297,Apartment,Schöneberg,36,1,1939,1,Excellent,242762,1012,3641,2428,101,3.31,6743,-2.5,5.0,89
298,House,Schöneberg,54,1,1939,3,Excellent,151350,631,2270,1514,63,4.04,2803,-1.37,5.0,59
299,Apartment,Mitte,64,1,2000,5,Good,565862,2358,8488,5659,236,4.02,8842,8.96,5.0,46
300,House,Reinickendorf,33,3,2012,5,Good,175981,733,2640,1760,73,3.23,5333,6.28,5.0,100
301,Apartment,Tempelhof-Schöneberg,119,4,1988,5,Excellent,716137,2984,10742,7161,298,3.14,6018,-4.99,5.0,42
302,Apartment,Marzahn-Hellersdorf,126,4,1908,4,Poor,394059,1642,5911,3941,164,2.63,3127,3.23,5.0,88
303,Apartment,Reinickendorf,109,2,1927,4,Fair,897059,3738,13456,8971,374,4.16,8230,-0.3,5.0,89
304,Apartment,Reinickendorf,98,4,1998,3,Fair,431091,1796,6466,4311,180,3.45,4399,2.33,5.0,41
305,Apartment,Treptow-Köpenick,72,3,1999,4,Excellent,310080,1292,4651,3101,129,3.64,4307,9.0,5.0,110
306,Apartment,Lichtenberg,52,2,1911,2,Poor,408316,1701,6125,4083,170,3.14,7852,5.29,5.0,51
307,Apartment,Treptow-Köpenick,59,2,1997,3,Poor,355262,1480,5329,3553,148,2.53,6021,3.94,5.0,88
308,House,Neukölln,90,3,1959,1,Excellent,190851,795,2863,1909,80,2.54,2121,4.46,5.0,96
309,Apartment,Steglitz-Zehlendorf,63,3,1915,4,Excellent,401250,1672,6019,4012,167,3.89,6369,-3.86,5.0,108
310,Apartment,Reinickendorf,114,3,1902,3,Good,237210,988,3558,2372,99,2.57,2081,2.8,5.0,108
311,Apartment,Tempelhof-Schöneberg,136,2,2023,3,Good,899442,3748,13492,8994,375,3.63,6614,8.61,5.0,114
312,Apartment,Steglitz-Zehlendorf,52,2,1971,5,Poor,243603,1015,3654,2436,102,4.34,4685,2.8,5.0,46
313,Apartment,Spandau,46,2,2019,2,Excellent,279982,1167,4200,2800,117,3.17,6087,-2.68,5.0,52
314,House,Steglitz-Zehlendorf,97,4,1950,4,Excellent,337537,1406,5063,3375,141,3.56,3480,-4.52,5.0,104
315,Apartment,Schöneberg,119,3,2015,1,Excellent,502315,2093,7535,5023,209,3.77,4221,4.49,5.0,114
316,House,Charlottenburg-Wilmersdorf,70,4,2005,3,Good,148248,618,2224,1482,62,3.48,2118,2.82,5.0,111
317,Apartment,Treptow-Köpenick,35,4,2002,5,Poor,116417,485,1746,1164,48,2.95,3326,6.8,5.0,82
318,House,Charlottenburg-Wilmersdorf,83,3,1908,1,Fair,288519,1202,4328,2885,120,3.22,3476,5.52,5.0,113
319,Apartment,Spandau,85,3,1930,3,Good,177562,740,2663,1776,74,3.42,2089,8.02,5.0,35
320,Apartment,Mitte,51,2,1978,5,Good,258154,1076,3872,2582,108,2.85,5062,9.2,5.0,97
321,House,Marzahn-Hellersdorf,30,2,1932,5,Good,82920,346,1244,829,35,3.74,2764,5.15,5.01,66
322,Apartment,Marzahn-Hellersdorf,112,2,1944,3,Good,339315,1414,5090,3393,141,3.07,3030,7.1,5.0,34
323,Apartment,Treptow-Köpenick,47,2,1962,5,Fair,318652,1328,4780,3187,133,3.39,6780,9.56,5.0,60
324,House,Charlottenburg-Wilmersdorf,70,1,1989,1,Fair,611578,2548,9174,6116,255,3.73,8737,-3.55,5.0,119
325,Apartment,Prenzlauer Berg,54,4,1928,4,Fair,116830,487,1752,1168,49,3.77,2164,4.44,5.0,31
326,Apartment,Tempelhof-Schöneberg,92,4,2010,4,Excellent,653925,2725,9809,6539,272,4.27,7108,3.77,5.0,31
327,Apartment,Prenzlauer Berg,47,1,1994,4,Good,264926,1104,3974,2649,110,3.56,5637,4.84,5.0,80
328,Apartment,Tempelhof-Schöneberg,45,4,2016,1,Poor,101144,421,1517,1011,42,3.25,2248,-2.13,4.99,119
329,Apartment,Friedrichshain-Kreuzberg,112,3,1938,5,Excellent,301447,1256,4522,3014,126,2.88,2691,9.03,5.0,68
330,Apartment,Charlottenburg-Wilmersdorf,137,2,1919,1,Fair,514575,2144,7719,5146,214,3.16,3756,8.78,5.0,68
331,House,Schöneberg,80,2,1935,1,Excellent,540412,2252,8106,5404,225,4.4,6755,0.83,5.0,54
332,House,Spandau,135,4,1902,4,Good,317136,1321,4757,3171,132,3.83,2349,7.81,5.0,47
333,Apartment,Marzahn-Hellersdorf,148,4,1978,2,Fair,332396,1385,4986,3324,138,2.67,2246,6.16,5.0,79
334,Apartment,Neukölln,67,4,2017,5,Excellent,214876,895,3223,2149,90,3.12,3207,3.58,5.0,52
335,Apartment,Spandau,60,3,1920,1,Good,285718,1190,4286,2857,119,3.28,4762,9.81,5.0,46
336,Apartment,Treptow-Köpenick,50,2,1977,2,Good,173078,721,2596,1731,72,4.07,3462,-0.86,5.0,87
337,House,Treptow-Köpenick,52,4,1963,4,Excellent,445753,1857,6686,4458,186,3.93,8572,5.64,5.0,53
338,House,Tempelhof-Schöneberg,137,1,1917,2,Poor,612032,2550,9180,6120,255,3.84,4467,4.76,5.0,53
339,Apartment,Tempelhof-Schöneberg,142,3,2005,2,Poor,874415,3643,13116,8744,364,4.4,6158,2.38,5.0,111
340,Apartment,Prenzlauer Berg,118,2,1928,4,Fair,795989,3317,11940,7960,332,4.16,6746,6.81,5.0,84
341,House,Charlottenburg-Wilmersdorf,75,1,2018,1,Good,361772,1507,5427,3618,151,3.68,4824,-2.33,5.0,87
342,Apartment,Spandau,52,4,1997,1,Poor,161576,673,2424,1616,67,3.69,3107,1.99,5.0,119
343,House,Tempelhof-Schöneberg,143,2,1961,5,Poor,1088686,4536,16330,10887,454,3.73,7613,-1.78,5.0,77
344,Apartment,Tempelhof-Schöneberg,89,2,1970,5,Fair,672501,2802,10088,6725,280,3.47,7556,2.33,5.0,51
345,Apartment,Neukölln,47,3,2007,4,Excellent,329017,1371,4935,3290,137,4.14,7000,-1.95,5.0,38
346,Apartment,Neukölln,139,2,1904,2,Excellent,1201153,5005,18017,12012,500,3.66,8641,2.76,5.0,120
347,House,Marzahn-Hellersdorf,84,3,1949,5,Poor,652240,2718,9784,6522,272,3.57,7765,6.2,5.0,87
348,House,Prenzlauer Berg,77,2,1920,1,Excellent,595488,2481,8932,5955,248,2.67,7734,2.29,5.0,74
349,House,Friedrichshain-Kreuzberg,56,2,1912,5,Good,194835,812,2923,1948,81,2.62,3479,6.79,5.0,106
350,House,Schöneberg,82,4,1925,4,Poor,211929,883,3179,2119,88,3.48,2584,7.37,5.0,41
351,House,Mitte,121,4,1909,4,Good,486308,2026,7295,4863,203,3.87,4019,-2.61,5.0,70
352,House,Marzahn-Hellersdorf,55,4,1991,2,Fair,421298,1755,6319,4213,176,3.76,7660,9.68,5.0,111
353,Apartment,Marzahn-Hellersdorf,95,4,1993,1,Fair,460891,1920,6913,4609,192,2.78,4851,-3.18,5.0,85
354,Apartment,Marzahn-Hellersdorf,36,1,1919,1,Excellent,156107,650,2342,1561,65,2.87,4336,7.36,5.0,82
355,House,Treptow-Köpenick,97,2,1961,1,Good,247860,1033,3718,2479,103,2.51,2555,7.65,5.0,36
356,Apartment,Mitte,65,3,1969,1,Good,224446,935,3367,2244,94,2.56,3453,5.29,5.0,43
357,House,Steglitz-Zehlendorf,131,1,1914,4,Excellent,1131053,4713,16966,11311,471,2.69,8634,6.0,5.0,65
358,House,Mitte,62,4,1977,4,Excellent,187379,781,2811,1874,78,3.05,3022,8.78,5.0,34
359,House,Friedrichshain-Kreuzberg,142,4,1943,5,Excellent,514769,2145,7722,5148,214,3.58,3625,-3.09,5.0,32
360,Apartment,Spandau,75,2,1968,1,Good,237823,991,3567,2378,99,4.0,3171,8.91,5.0,109
361,Apartment,Charlottenburg-Wilmersdorf,93,2,1969,4,Fair,298539,1244,4478,2985,124,2.57,3210,-0.39,5.0,100
362,Apartment,Neukölln,107,2,1972,3,Good,258601,1078,3879,2586,108,3.05,2417,3.36,5.0,109
363,Apartment,Friedrichshain-Kreuzberg,86,2,1984,1,Poor,398516,1660,5978,3985,166,2.61,4634,-2.33,5.0,100
364,House,Reinickendorf,56,1,1948,2,Fair,309788,1291,4647,3098,129,2.9,5532,8.21,5.0,113
365,House,Treptow-Köpenick,79,1,1970,3,Excellent,520488,2169,7807,5205,217,3.02,6588,0.25,5.0,95
366,Apartment,Tempelhof-Schöneberg,63,1,1981,2,Fair,494637,2061,7420,4946,206,3.67,7851,7.12,5.0,109
367,House,Schöneberg,130,4,2003,1,Fair,554103,2309,8312,5541,231,2.64,4262,1.51,5.0,41
368,Apartment,Steglitz-Zehlendorf,142,1,1970,4,Excellent,308533,1286,4628,3085,129,3.69,2173,8.74,5.0,112
369,House,Marzahn-Hellersdorf,122,2,2022,4,Good,575218,2397,8628,5752,240,2.93,4715,5.06,5.0,34
370,Apartment,Neukölln,90,1,1937,4,Good,574368,2393,8616,5744,239,4.47,6382,-3.38,5.0,79
371,House,Neukölln,106,4,1956,5,Good,924097,3850,13861,9241,385,3.23,8718,8.41,5.0,68
372,House,Treptow-Köpenick,113,2,1957,5,Good,316212,1318,4743,3162,132,3.48,2798,6.67,5.0,94
373,House,Reinickendorf,35,3,1976,1,Fair,290989,1212,4365,2910,121,3.25,8314,0.62,5.0,62
374,House,Treptow-Köpenick,80,1,2022,4,Fair,186147,776,2792,1861,78,4.07,2327,-3.81,5.0,92
375,House,Lichtenberg,144,4,1944,5,Fair,295202,1230,4428,2952,123,2.8,2050,6.26,5.0,47
376,Apartment,Neukölln,104,1,2004,4,Poor,607277,2530,9109,6073,253,3.61,5839,-2.52,5.0,79
377,Apartment,Charlottenburg-Wilmersdorf,100,3,2012,3,Fair,387400,1614,5811,3874,161,3.22,3874,0.71,5.0,111
378,House,Marzahn-Hellersdorf,52,2,1931,4,Poor,142408,593,2136,1424,59,3.59,2739,0.0,5.0,112
379,House,Schöneberg,109,4,1994,3,Poor,894632,3728,13419,8946,373,3.93,8208,6.03,5.0,98
380,Apartment,Treptow-Köpenick,62,3,1926,4,Fair,157272,655,2359,1573,66,2.85,2537,8.71,5.0,67
381,Apartment,Schöneberg,32,2,1998,3,Good,128285,535,1924,1283,54,3.56,4009,1.18,5.0,36
382,Apartment,Charlottenburg-Wilmersdorf,85,1,1949,1,Good,295400,1231,4431,2954,123,2.98,3475,8.8,5.0,112
383,Apartment,Friedrichshain-Kreuzberg,96,2,1993,5,Fair,620658,2586,9310,6207,259,3.39,6465,-3.54,5.0,30
384,House,Treptow-Köpenick,132,1,1902,1,Excellent,1048325,4368,15725,10483,437,4.49,7942,9.09,5.0,87
385,House,Spandau,118,1,2020,4,Good,320902,1337,4814,3209,134,3.33,2720,2.96,5.0,43
386,House,Charlottenburg-Wilmersdorf,33,4,1989,5,Poor,161179,672,2418,1612,67,3.81,4884,1.75,5.0,50
387,House,Lichtenberg,81,1,1922,4,Excellent,196607,819,2949,1966,82,3.35,2427,-4.18,5.0,103
388,House,Charlottenburg-Wilmersdorf,126,1,1950,4,Good,1100872,4587,16513,11009,459,4.05,8737,4.89,5.0,37
389,House,Tempelhof-Schöneberg,34,3,1980,3,Poor,222895,929,3343,2229,93,3.66,6556,-0.51,5.0,82
390,Apartment,Mitte,52,3,1950,5,Poor,199781,832,2997,1998,83,2.63,3842,6.82,5.0,54
391,House,Marzahn-Hellersdorf,49,4,1991,1,Excellent,88738,370,1331,887,37,3.65,1811,7.92,5.0,74
392,House,Spandau,83,4,1923,4,Fair,656358,2735,9845,6564,274,3.26,7908,5.07,5.0,89
393,Apartment,Treptow-Köpenick,52,1,1942,5,Excellent,132009,550,1980,1320,55,2.61,2539,9.53,5.0,91
394,House,Reinickendorf,41,2,1944,2,Fair,333468,1389,5002,3335,139,3.62,8133,9.44,5.0,78
395,Apartment,Tempelhof-Schöneberg,72,1,1906,4,Fair,506165,2109,7592,5062,211,3.88,7030,-1.58,5.0,30
396,Apartment,Schöneberg,71,4,1988,2,Good,571691,2382,8575,5717,238,4.47,8052,7.3,5.0,68
397,Apartment,Reinickendorf,111,1,1944,1,Fair,606657,2528,9100,6067,253,4.45,5465,-4.96,5.0,95
398,House,Reinickendorf,150,4,1903,4,Poor,816302,3401,12245,8163,340,3.13,5442,-2.81,5.0,52
399,House,Steglitz-Zehlendorf,37,4,1918,1,Poor,72927,304,1094,729,30,3.93,1971,-3.8,5.0,108
400,House,Steglitz-Zehlendorf,134,4,1981,1,Excellent,249261,1039,3739,2493,104,3.97,1860,7.8,5.0,104
401,Apartment,Steglitz-Zehlendorf,123,3,1956,5,Poor,1056544,4402,15848,10565,440,3.63,8590,-1.15,5.0,77
402,Apartment,Reinickendorf,82,4,1914,5,Good,351293,1464,5269,3513,146,3.37,4284,-4.39,5.0,75
403,Apartment,Friedrichshain-Kreuzberg,140,4,1940,4,Poor,678919,2829,10184,6789,283,3.64,4849,0.13,5.0,37
404,House,Marzahn-Hellersdorf,35,4,1922,3,Poor,296822,1237,4452,2968,124,3.66,8481,9.86,5.0,44
405,Apartment,Friedrichshain-Kreuzberg,117,1,1965,4,Excellent,975468,4064,14632,9755,406,2.97,8337,6.01,5.0,37
406,House,Schöneberg,98,4,1985,2,Good,642987,2679,9645,6430,268,3.96,6561,-1.7,5.0,106
407,Apartment,Schöneberg,142,2,1930,1,Poor,356370,1485,5346,3564,148,3.93,2510,-2.85,5.0,107
408,Apartment,Steglitz-Zehlendorf,126,4,1905,5,Excellent,815458,3398,12232,8155,340,4.26,6472,7.6,5.0,49
409,Apartment,Reinickendorf,48,4,1963,2,Good,165149,688,2477,1651,69,2.77,3441,2.24,5.0,57
410,House,Reinickendorf,146,1,1943,5,Excellent,828702,3453,12431,8287,345,4.48,5676,-2.88,5.0,119
411,Apartment,Reinickendorf,39,4,1916,5,Poor,260322,1085,3905,2603,108,2.84,6675,8.91,5.0,102
412,House,Lichtenberg,122,4,1969,1,Fair,474297,1976,7114,4743,198,3.17,3888,4.03,5.0,71
413,Apartment,Charlottenburg-Wilmersdorf,127,4,1937,5,Good,1035046,4313,15526,10350,431,2.54,8150,-1.83,5.0,102
414,House,Treptow-Köpenick,80,1,2006,1,Good,264597,1102,3969,2646,110,4.16,3307,5.23,5.0,116
415,Apartment,Friedrichshain-Kreuzberg,71,3,1941,4,Good,253158,1055,3797,2532,106,3.74,3566,4.65,5.0,119
416,Apartment,Marzahn-Hellersdorf,64,3,2016,1,Good,249102,1038,3737,2491,104,3.14,3892,4.06,5.0,93
417,Apartment,Steglitz-Zehlendorf,56,3,1908,4,Excellent,273432,1139,4101,2734,114,4.15,4883,8.65,5.0,34
418,Apartment,Charlottenburg-Wilmersdorf,90,1,1988,3,Good,624626,2603,9369,6246,260,3.73,6940,8.5,5.0,84
419,House,Steglitz-Zehlendorf,116,2,1988,3,Fair,1016681,4236,15250,10167,424,3.28,8764,5.53,5.0,65
420,House,Prenzlauer Berg,88,3,2021,3,Good,638665,2661,9580,6387,266,4.35,7258,-3.46,5.0,68
421,Apartment,Marzahn-Hellersdorf,102,1,1951,3,Excellent,862229,3593,12933,8622,359,2.81,8453,-2.79,5.0,47
422,Apartment,Steglitz-Zehlendorf,40,3,1990,2,Poor,92072,384,1381,921,38,4.08,2302,6.8,5.0,41
423,House,Lichtenberg,64,3,1959,1,Fair,486601,2028,7299,4866,203,3.27,7603,5.97,5.0,66
424,House,Friedrichshain-Kreuzberg,130,4,1927,2,Excellent,300323,1251,4505,3003,125,2.86,2310,-2.72,5.0,77
425,House,Prenzlauer Berg,53,4,1914,1,Good,215939,900,3239,2159,90,3.61,4074,-0.37,5.0,79
426,Apartment,Treptow-Köpenick,139,1,1990,5,Good,300870,1254,4513,3009,125,3.2,2165,-1.33,5.0,40
427,Apartment,Lichtenberg,140,3,1962,5,Good,1180110,4917,17702,11801,492,2.94,8429,8.83,5.0,106
428,Apartment,Marzahn-Hellersdorf,31,3,2020,3,Good,74934,312,1124,749,31,3.34,2417,-4.49,5.0,94
429,House,Charlottenburg-Wilmersdorf,55,4,1989,4,Excellent,437023,1821,6555,4370,182,3.25,7946,2.67,5.0,112
430,Apartment,Schöneberg,63,3,1951,1,Good,131601,548,1974,1316,55,2.64,2089,4.28,5.0,82
431,Apartment,Neukölln,56,1,1961,1,Excellent,360909,1504,5414,3609,150,4.21,6445,-0.75,5.0,109
432,Apartment,Spandau,63,4,2021,4,Poor,350784,1462,5262,3508,146,2.6,5568,2.65,5.0,67
433,House,Mitte,131,1,1918,5,Good,985337,4106,14780,9853,411,3.88,7522,0.93,5.0,69
434,House,Spandau,67,3,1917,3,Excellent,394559,1644,5918,3946,164,4.26,5889,5.24,5.0,118
435,Apartment,Friedrichshain-Kreuzberg,83,1,2001,5,Fair,694885,2895,10423,6949,290,2.6,8372,2.73,5.0,54
436,House,Schöneberg,136,1,1917,1,Good,794455,3310,11917,7945,331,2.61,5842,3.07,5.0,91
437,House,Steglitz-Zehlendorf,125,3,2003,5,Good,844556,3519,12668,8446,352,3.72,6756,-3.36,5.0,106
438,House,Steglitz-Zehlendorf,120,3,1918,1,Fair,285272,1189,4279,2853,119,2.71,2377,7.13,5.0,85
439,House,Marzahn-Hellersdorf,69,3,1971,5,Poor,247732,1032,3716,2477,103,3.49,3590,5.58,5.0,73
440,House,Marzahn-Hellersdorf,73,1,1976,3,Good,541135,2255,8117,5411,226,4.23,7413,0.16,5.0,95
441,House,Schöneberg,144,1,1968,4,Poor,1115877,4649,16738,11159,465,3.05,7749,5.65,5.0,96
442,Apartment,Prenzlauer Berg,136,4,1936,5,Fair,630099,2625,9451,6301,262,2.67,4633,-3.37,5.0,100
443,Apartment,Charlottenburg-Wilmersdorf,66,2,1976,4,Excellent,160255,668,2404,1603,67,3.59,2428,0.23,5.0,55
444,Apartment,Charlottenburg-Wilmersdorf,81,1,2005,3,Excellent,268345,1118,4025,2683,112,4.49,3313,2.97,5.0,69
445,Apartment,Spandau,136,4,1907,5,Excellent,1208342,5035,18125,12083,504,3.45,8885,8.19,5.0,79
446,House,Charlottenburg-Wilmersdorf,71,1,1938,1,Poor,594815,2478,8922,5948,248,4.23,8378,3.92,5.0,99
447,House,Lichtenberg,119,1,2021,2,Poor,339687,1415,5095,3397,142,3.1,2855,2.06,5.0,77
448,House,Mitte,41,4,1994,4,Excellent,114248,476,1714,1142,48,3.13,2787,7.37,5.0,86
449,Apartment,Marzahn-Hellersdorf,67,2,2012,2,Poor,487679,2032,7315,4877,203,3.49,7279,1.76,5.0,103
450,House,Steglitz-Zehlendorf,53,2,1924,5,Poor,201193,838,3018,2012,84,3.51,3796,7.63,5.0,83
451,House,Prenzlauer Berg,63,2,1951,5,Poor,150710,628,2261,1507,63,4.41,2392,1.24,5.0,62
452,House,Treptow-Köpenick,71,1,1964,5,Fair,133986,558,2010,1340,56,2.69,1887,-1.76,5.0,46
453,Apartment,Neukölln,39,3,1936,2,Excellent,296206,1234,4443,2962,123,4.26,7595,-0.39,5.0,52
454,House,Reinickendorf,85,3,1901,3,Excellent,285179,1188,4278,2852,119,2.67,3355,9.44,5.0,42
455,Apartment,Schöneberg,111,1,1943,1,Excellent,935086,3896,14026,9351,390,4.31,8424,1.05,5.0,82
456,Apartment,Marzahn-Hellersdorf,39,2,1947,2,Fair,176691,736,2650,1767,74,2.67,4531,4.44,5.0,86
457,House,Schöneberg,142,3,1924,3,Poor,470391,1960,7056,4704,196,3.02,3313,2.46,5.0,72
458,House,Neukölln,92,2,1915,5,Poor,473343,1972,7100,4733,197,3.91,5145,6.12,5.0,41
459,Apartment,Steglitz-Zehlendorf,78,2,1952,5,Fair,536526,2236,8048,5365,224,4.22,6879,9.32,5.0,101
